objectid,parentid,title,date,description,subject,location,creator,latitude,longitude,source,digital_collection,identifier,language,rights,rightsstatement,format_original,type,format,filename,display_template,object_location,image_small,image_thumb
watkins0,,Anaconda Mine 1000 ft. level East [no. 1163],1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1163,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1163.jpg,image,/objects/89-1163.jpg,/objects/small/89-1163_sm.jpg,/objects/thumbs/89-1163_th.jpg
watkins1,,Anaconda Mine 1000 ft. level West [no. 1172],1890,Anaconda Mine 1000 level West Ore 75 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1172,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1172.jpg,image,/objects/89-1172.jpg,/objects/small/89-1172_sm.jpg,/objects/thumbs/89-1172_th.jpg
watkins2,,Anaconda Mine 900 ft. level West [no. 1173],1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1173,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1173.jpg,image,/objects/89-1173.jpg,/objects/small/89-1173_sm.jpg,/objects/thumbs/89-1173_th.jpg
watkins3,,Anaconda Mine 900 ft. level East [no. 1174],1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1174,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1174.jpg,image,/objects/89-1174.jpg,/objects/small/89-1174_sm.jpg,/objects/thumbs/89-1174_th.jpg
watkins4,,Anaconda Mine 900 ft. level West [no. 1175],1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1175,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1175.jpg,image,/objects/89-1175.jpg,/objects/small/89-1175_sm.jpg,/objects/thumbs/89-1175_th.jpg
watkins5,,Anaconda Mine 900 ft. level East [no. 1176],1890,Anaconda Mine 900 level East Wealth of ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1176,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1176.jpg,image,/objects/89-1176.jpg,/objects/small/89-1176_sm.jpg,/objects/thumbs/89-1176_th.jpg
watkins6,,Anaconda Mine 900 ft. level East [no. 1177],1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1177,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1177.jpg,image,/objects/89-1177.jpg,/objects/small/89-1177_sm.jpg,/objects/thumbs/89-1177_th.jpg
watkins7,,Anaconda Mine 900 ft. level East [no. 1178],1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01972222,-112.5236111,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1178,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1178.jpg,image,/objects/89-1178.jpg,/objects/small/89-1178_sm.jpg,/objects/thumbs/89-1178_th.jpg
watkins8,,St. Lawrence Mine 800 ft. level West [no. 1179],1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1179,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1179.jpg,image,/objects/89-1179.jpg,/objects/small/89-1179_sm.jpg,/objects/thumbs/89-1179_th.jpg
watkins9,,St. Lawrence Mine 800 ft. level West [no. 1181],1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",United States--Montana--Silver Bow County--Butte--Anaconda Mine,"Watkins, Carleton E.",46.01944444,-112.52,PG 89 - University of Idaho Library Special Collections & Archives,"Carleton Watkins Mine Interiors Collection, https://www.lib.uidaho.edu/digital/watkins/",89-1181,eng,"Material in Public Domain due to date of creation. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/NoC-US/1.0/,Black and White Photograph,Image;StillImage,image/jpeg,89-1181.jpg,image,/objects/89-1181.jpg,/objects/small/89-1181_sm.jpg,/objects/thumbs/89-1181_th.jpg
